VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
1,2016-06-10 22:32:39,2016-06-10 22:36:28,N,1,-73.844200134277344,40.72100830078125,-73.849105834960938,40.728065490722656,1,.60,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-06-09 20:01:35,2016-06-09 20:22:07,N,1,-73.844245910644531,40.721370697021484,-73.817352294921875,40.752971649169922,5,4.75,18,1,0.5,5.94,0,,0.3,25.74,1,1
2,2016-06-28 18:08:14,2016-06-28 18:19:41,N,1,-73.987281799316406,40.693672180175781,-74.00140380859375,40.683197021484375,1,1.75,9.5,1,0.5,3.39,0,,0.3,14.69,1,1
1,2016-06-08 13:35:54,2016-06-08 13:43:36,N,1,-73.960990905761719,40.708858489990234,-73.946487426757812,40.700153350830078,1,.00,6,0,0.5,1.35,0,,0.3,8.15,1,1
2,2016-06-05 22:21:22,2016-06-05 22:30:04,N,1,-73.929695129394531,40.756370544433594,-73.911262512207031,40.769721984863281,1,1.83,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
1,2016-06-23 10:01:39,2016-06-23 10:07:27,N,1,-73.946578979492187,40.806419372558594,-73.951484680175781,40.793674468994141,1,1.10,6.5,0,0.5,0,0,,0.3,7.3,1,1
2,2016-06-22 21:28:22,2016-06-22 21:35:13,N,1,-73.998588562011719,40.639163970947266,-74.000282287597656,40.654743194580078,3,1.45,7,0.5,0.5,1.66,0,,0.3,9.96,1,1
2,2016-06-17 13:24:18,2016-06-17 13:31:10,N,1,-73.926033020019531,40.838779449462891,-73.933944702148438,40.849494934082031,1,1.21,6.5,0,0.5,0,0,,0.3,7.3,1,1
2,2016-06-14 03:12:12,2016-06-14 03:19:34,N,5,-73.830322265625,40.759433746337891,-73.796615600585938,40.758808135986328,1,1.99,11,0,0,0,0,,0,11,1,2
2,2016-06-17 18:36:55,2016-06-17 18:49:26,N,5,-73.918449401855469,40.816192626953125,-73.937248229980469,40.832515716552734,1,2.09,10,0,0,0,0,,0,10,2,2
2,2016-06-18 02:56:21,2016-06-18 03:03:59,N,1,-73.912055969238281,40.775177001953125,-73.906944274902344,40.769092559814453,1,1.71,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-06-03 23:25:13,2016-06-03 23:34:00,N,1,-73.966934204101563,40.693702697753906,-73.964675903320313,40.719226837158203,1,2.36,9,0.5,0.5,2.06,0,,0.3,12.36,1,1
2,2016-06-24 01:00:49,2016-06-24 01:02:23,N,1,-73.95855712890625,40.721126556396484,-73.957847595214844,40.717952728271484,1,.33,3.5,0.5,0.5,1.2,0,,0.3,6,1,1
2,2016-06-15 22:16:20,2016-06-15 22:31:31,N,1,-73.957572937011719,40.671920776367188,-73.974586486816406,40.696056365966797,1,3.49,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
